compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_75296	CHEBI_75296	1	0	
Compound::CHEBI_142209	CHEBI_142209	1	0	
Compound::CHEBI_138723	CHEBI_138723	1	0	
Compound::CHEBI_140327	CHEBI_140327	1	0	
Compound::CHEBI_75265	CHEBI_75265	1	0	
Compound::CHEBI_15686	CHEBI_15686	1	1	Saccharomyces cerevisiae metabolite
Compound::CHEBI_132067	CHEBI_132067	1	0	
Compound::CHEBI_142693	CHEBI_142693	1	0	
Compound::CHEBI_58797	CHEBI_58797	1	0	
Compound::CHEBI_75161	CHEBI_75161	1	0	
Compound::CHEBI_84791	CHEBI_84791	1	0	
Compound::CHEBI_155848	CHEBI_155848	1	0	
Compound::CHEBI_137320	CHEBI_137320	1	0	
Compound::CHEBI_74246	CHEBI_74246	1	0	
Compound::CHEBI_149528	CHEBI_149528	1	0	
Compound::CHEBI_67132	CHEBI_67132	1	0	
Compound::CHEBI_87333	CHEBI_87333	1	1	human metabolite
Compound::CHEBI_74340	CHEBI_74340	1	0	
Compound::CHEBI_145836	CHEBI_145836	1	0	
Compound::CHEBI_57685	CHEBI_57685	1	1	archaeal metabolite
Compound::CHEBI_90859	CHEBI_90859	1	0	
Compound::CHEBI_77551	CHEBI_77551	1	0	
Compound::CHEBI_137053	CHEBI_137053	1	2	human metabolite; mouse metabolite
Compound::CHEBI_138375	CHEBI_138375	1	0	
Compound::CHEBI_16229	CHEBI_16229	1	2	human metabolite; mouse metabolite
Compound::CHEBI_90381	CHEBI_90381	1	0	
Compound::CHEBI_60627	CHEBI_60627	1	0	
Compound::CHEBI_90510	CHEBI_90510	1	0	
Compound::CHEBI_73315	CHEBI_73315	1	1	human metabolite
Compound::CHEBI_137476	CHEBI_137476	1	0	
Compound::CHEBI_90815	CHEBI_90815	1	2	human xenobiotic metabolite; mouse metabolite
Compound::CHEBI_63212	CHEBI_63212	1	0	
Compound::CHEBI_136906	CHEBI_136906	1	0	
Compound::CHEBI_136351	CHEBI_136351	1	0	
Compound::CHEBI_146164	CHEBI_146164	1	0	
Compound::CHEBI_87391	CHEBI_87391	1	0	
Compound::CHEBI_147309	CHEBI_147309	1	0	
Compound::CHEBI_75850	CHEBI_75850	1	0	
Compound::CHEBI_84841	CHEBI_84841	1	0	
Compound::CHEBI_62259	CHEBI_62259	1	1	epitope
Compound::CHEBI_77099	CHEBI_77099	1	0	
Compound::CHEBI_138637	CHEBI_138637	1	0	
Compound::CHEBI_138024	CHEBI_138024	1	0	
Compound::CHEBI_77753	CHEBI_77753	1	0	
Compound::CHEBI_36261	CHEBI_36261	1	1	human metabolite
Compound::CHEBI_78596	CHEBI_78596	1	0	
Compound::CHEBI_16455	CHEBI_16455	1	0	
Compound::CHEBI_156132	CHEBI_156132	1	0	
Compound::CHEBI_49172	CHEBI_49172	1	0	
Compound::CHEBI_59806	CHEBI_59806	1	1	plant metabolite
Compound::CHEBI_87792	CHEBI_87792	1	0	
Compound::CHEBI_140743	CHEBI_140743	1	0	
Compound::CHEBI_82875	CHEBI_82875	1	0	
Compound::CHEBI_133519	CHEBI_133519	1	0	
Compound::CHEBI_72858	CHEBI_72858	1	0	
Compound::CHEBI_142777	CHEBI_142777	1	0	
Compound::CHEBI_77803	CHEBI_77803	1	0	
Compound::CHEBI_73998	CHEBI_73998	1	0	
Compound::CHEBI_76064	CHEBI_76064	1	0	
Compound::CHEBI_146186	CHEBI_146186	1	0	
Compound::CHEBI_136635	CHEBI_136635	1	0	
Compound::CHEBI_131944	CHEBI_131944	1	0	
Compound::CHEBI_85295	CHEBI_85295	1	0	
Compound::CHEBI_85293	CHEBI_85293	1	0	
Compound::CHEBI_86384	CHEBI_86384	1	1	human xenobiotic metabolite
Compound::CHEBI_58758	CHEBI_58758	1	1	human metabolite
Compound::CHEBI_44400	CHEBI_44400	1	0	
Compound::CHEBI_140528	CHEBI_140528	1	1	human xenobiotic metabolite
Compound::CHEBI_28396	CHEBI_28396	1	1	mouse metabolite
Compound::CHEBI_47820	CHEBI_47820	1	0	
Compound::CHEBI_140495	CHEBI_140495	1	0	
Compound::CHEBI_72838	CHEBI_72838	1	0	
Compound::CHEBI_167612	CHEBI_167612	1	0	
Compound::CHEBI_74663	CHEBI_74663	1	0	
Compound::CHEBI_133134	CHEBI_133134	1	0	
Compound::CHEBI_147391	CHEBI_147391	1	0	
Compound::CHEBI_83336	CHEBI_83336	1	0	
Compound::CHEBI_87410	CHEBI_87410	1	0	
Compound::CHEBI_32375	CHEBI_32375	1	0	
Compound::CHEBI_140080	CHEBI_140080	1	0	
Compound::CHEBI_87788	CHEBI_87788	1	0	
Compound::CHEBI_15897	CHEBI_15897	1	0	
Compound::CHEBI_78269	CHEBI_78269	1	0	
Compound::CHEBI_57317	CHEBI_57317	1	0	
Compound::CHEBI_78948	CHEBI_78948	1	0	
Compound::CHEBI_78070	CHEBI_78070	1	0	
Compound::CHEBI_137457	CHEBI_137457	1	0	
Compound::CHEBI_145943	CHEBI_145943	1	0	
Compound::CHEBI_75234	CHEBI_75234	1	0	
Compound::CHEBI_90812	CHEBI_90812	1	1	human xenobiotic metabolite
Compound::CHEBI_75994	CHEBI_75994	1	0	
Compound::CHEBI_86042	CHEBI_86042	1	0	
Compound::CHEBI_138198	CHEBI_138198	1	0	
Compound::CHEBI_90157	CHEBI_90157	1	0	
Compound::CHEBI_58700	CHEBI_58700	1	0	
Compound::CHEBI_84672	CHEBI_84672	1	0	
Compound::CHEBI_58489	CHEBI_58489	1	0	
Compound::CHEBI_138107	CHEBI_138107	1	0	
Compound::CHEBI_78594	CHEBI_78594	1	0	
Compound::CHEBI_155847	CHEBI_155847	1	0	
Compound::CHEBI_156134	CHEBI_156134	1	0	
Compound::CHEBI_73534	CHEBI_73534	1	0	
Compound::CHEBI_28997	CHEBI_28997	1	5	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite; plant metabolite
Compound::CHEBI_16310	CHEBI_16310	1	3	alarm pheromone; plant metabolite; volatile oil component
Compound::CHEBI_52075	CHEBI_52075	1	0	
Compound::CHEBI_77292	CHEBI_77292	1	0	
Compound::CHEBI_57499	CHEBI_57499	1	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_85651	CHEBI_85651	1	0	
Compound::CHEBI_58445	CHEBI_58445	1	1	animal metabolite
Compound::CHEBI_138058	CHEBI_138058	1	0	
